Date,Value
2018-02-12,3184090036480775680
2018-02-13,2627146128421575168
2018-02-14,3262102690155816960
2018-02-15,3006763627544953344
2018-02-16,2984779048113972224
2018-02-17,2750944403870455808
2018-02-18,3014347507452105728
2018-02-19,3574589053725125632
2018-02-20,2415517680469299712
2018-02-21,2791427739742620672
2018-02-22,2356472194740531200
2018-02-23,2731633104883356160
2018-02-24,3004759349035232768
2018-02-25,2473861825443782656
2018-02-26,2574996202312827904
2018-02-27,2535815363596168192
2018-02-28,2537192347478404608
2018-03-01,2545218215915583488
2018-03-02,2542015883304403968
2018-03-03,2427325121888306176
2018-03-04,2397677216225366528
2018-03-05,2766884896949680128
2018-03-06,2559793291972059648
2018-03-07,2556005122986469888
2018-03-08,2599043751208351744
2018-03-09,2932425390688861184
2018-03-10,2393037207965261824
2018-03-11,2926808445421560832
2018-03-12,2540455541289123328
2018-03-13,2688503197954569216
2018-03-14,2714528532021553664
2018-03-15,2542060873710446592
2018-03-16,2701417823666560512
2018-03-17,2832985327151367680
2018-03-18,2829730195073078784
2018-03-19,2710023852481731584
2018-03-20,2827551251736694784
2018-03-21,3071305371219296256
2018-03-22,2692460176424011776
2018-03-23,2707735552030142464
2018-03-24,2725046308584923648
2018-03-25,2727049936055709696
2018-03-26,2758679268132125184
2018-03-27,2803959578630017024
2018-03-28,2723965212834124288
2018-03-29,2458593234195640320
2018-03-30,2591684057828538880
2018-03-31,2300848739052252416
2018-04-01,2457655548480793600
2018-04-02,2447796044038640640
2018-04-03,2262397132312282368
2018-04-04,2366383501773091840
2018-04-05,2675001061163062784
2018-04-06,2275569779304389888
2018-04-07,2299646601368784128
2018-04-08,2415862688339460608
2018-04-09,2519887920721812992
2018-04-10,2292641569339928576
2018-04-11,2536190782704723968
2018-04-12,2494229277588270080
2018-04-13,2386617567233734144
2018-04-14,2556035645948470272
2018-04-15,2806481554093485568
2018-04-16,2545590533677202944
2018-04-17,2594239375788988416
2018-04-18,2863682587166252032
2018-04-19,3147128793106052608
2018-04-20,3571206214558932480
2018-04-21,3363439737038410752
2018-04-22,3602005503909989888
2018-04-23,4317611672824481280
2018-04-24,4592155881489219584
2018-04-25,3325924420243793920
2018-04-26,4060976089459021824
2018-04-27,4183713139456662016
2018-04-28,4091010922554528256
2018-04-29,4255951796228897792
2018-04-30,4052207329409945088
2018-05-01,3983371981985485312
2018-05-02,4497129338643107840
2018-05-03,4506558130885561856
2018-05-04,4225131591970641920
2018-05-05,4840577809686394880
2018-05-06,5116837265470218240
2018-05-07,4790413794217595904
2018-05-08,4725041125705243648
2018-05-09,4790270740253557760
2018-05-10,4808265179961008128
2018-05-11,4591920362781835776
2018-05-12,4730146630001661952
2018-05-13,4903565739419027456
2018-05-14,4580198293769225728
2018-05-15,4490271374402130432
2018-05-16,4370819120991168512
2018-05-17,4497245340275198976
2018-05-18,3899022818331317248
2018-05-19,4142457471717487104
2018-05-20,4336718303479532032
2018-05-21,4133601877937004032
2018-05-22,4503503279256995840
2018-05-23,3758164880269590016
2018-05-24,3960213736411503616
2018-05-25,4095348968424797184
2018-05-26,4209172659705695744
2018-05-27,4002127402329779200
2018-05-28,3788827716358336512
2018-05-29,3831851991178073088
2018-05-30,4141740457598005248
2018-05-31,3996983471959810560
2018-06-01,3999501072529441280
2018-06-02,4267433277913364992
2018-06-03,4502856025672474112
2018-06-04,4319993770372878336
2018-06-05,4765270894486827008
2018-06-06,5271302604829002752
2018-06-07,5178015682175905792
2018-06-08,4908887966583860224
2018-06-09,4779175096491955200
2018-06-10,5021101732774926336
2018-06-11,4778336848420795392
2018-06-12,4597105244156680192
2018-06-13,4709816277316820992
2018-06-14,4510143684541660160
2018-06-15,4879954986073192448
2018-06-16,4603952076946381312
2018-06-17,4468370137542022656
2018-06-18,4501892689438343680
2018-06-19,4768140660060829696
2018-06-20,4371309270300200448
2018-06-21,4645103329309694976
2018-06-22,4912255602861603840
2018-06-23,4164905869345959936
2018-06-24,4259886413229498880
2018-06-25,4438282602899213312
2018-06-26,4726269072309275648
2018-06-27,4438107219156493824
2018-06-28,5521885411976140800
2018-06-29,3720964383583583232
2018-06-30,4355573026013783040
2018-07-01,4861657997014166528
2018-07-02,5017048325240760320
2018-07-03,4541409780256214528
2018-07-04,4461156242577083392
2018-07-05,5069213150751171584
2018-07-06,5367258778149578752
2018-07-07,4970546621012251648
2018-07-08,4119068460216949248
2018-07-09,5639582900257872896
2018-07-10,5231322920942985216
2018-07-11,4546713999471146496
2018-07-12,5002366627652856832
2018-07-13,5454115613236907008
2018-07-14,5283355101926504448
2018-07-15,4770149676559545344
2018-07-16,5553104692409289728
2018-07-17,4262184153153011712
2018-07-18,4484771656327519744
2018-07-19,4374470136747836928
2018-07-20,4541363125122739200
2018-07-21,4574118403259856896
2018-07-22,3690955524568895488
2018-07-23,3733701998385472000
2018-07-24,3810916107761671168
2018-07-25,4097105609997008896
2018-07-26,3564403346183511040
2018-07-27,3772485758879183360
2018-07-28,3745943092788737024
2018-07-29,4269110020165209600
2018-07-30,4425478148738144768
2018-07-31,4143919468465274880
2018-08-01,4272334305057172992
2018-08-02,4141771220482403328
2018-08-03,4039005984305414656
2018-08-04,4328236638137378304
2018-08-05,4279255609701987840
2018-08-06,4164266268270479872
2018-08-07,4207297318217321472
2018-08-08,3922578648609643520
2018-08-09,4393670848813216768
2018-08-10,3665418028489403392
2018-08-11,4314278141442177536
2018-08-12,4143364816934140416
2018-08-13,4118290628155053056
2018-08-14,3408803725912756736
2018-08-15,4258372201149463552
2018-08-16,3564327115357398016
2018-08-17,3979590939967660544
2018-08-18,4462545122800752128
2018-08-19,4353831510432242176
2018-08-20,3743379862871833600
2018-08-21,3713204187946555392
2018-08-22,4319068894265805312
2018-08-23,3731518386026301440
2018-08-24,3724470175769678336
2018-08-25,4006401546903174144
2018-08-26,3804322090750482944
2018-08-27,3765826516270758400
2018-08-28,3858772534634580480
2018-08-29,3867047064986681344
2018-08-30,3602778892256636416
2018-08-31,3625519805202168320
2018-09-01,4026318185785484800
2018-09-02,4028766941649114624
2018-09-03,4252720059576160256
2018-09-04,4107073221486862848
2018-09-05,4667861551710503936
2018-09-06,4286173408825507840
2018-09-07,3986750811240152064
2018-09-08,3812883866801115136
2018-09-09,3890635562705818112
2018-09-10,3631967432450348032
2018-09-11,3772640686973816320
2018-09-12,4173512127042526720
2018-09-13,3547157568045803008
2018-09-14,3472892790358292480
2018-09-15,3502274707503439360
2018-09-16,3469928145097819136
2018-09-17,3432122398926995456
2018-09-18,3550956484889311232
2018-09-19,3436151760175660032
2018-09-20,3670302108975397888
2018-09-21,3720452125660377600
2018-09-22,3617732350771553280
2018-09-23,3763048677219271680
2018-09-24,3535732105568240640
2018-09-25,3542985483753336832
2018-09-26,3707193552108374016
2018-09-27,4430978455216966656
2018-09-28,4020176021499589632
2018-09-29,4016372232830395392
2018-09-30,4026452539116043264
2018-10-01,4164094533814401536
2018-10-02,4023002072494551552
2018-10-03,3956099759605860864
2018-10-04,4157345764715062272
2018-10-05,4054624562151885312
2018-10-06,3954941236304217600
2018-10-07,4183395258953959936
2018-10-08,4103923628526160896
2018-10-09,4118466976407553536
2018-10-10,4064910781506549760
2018-10-11,3724606781427363328
2018-10-12,3770553862705257984
2018-10-13,3800956382216885760
2018-10-14,3756342904665949184
2018-10-15,3638519524153894400
2018-10-16,3702760999529301504
2018-10-17,3548124878001787392
2018-10-18,4111857605589081088
2018-10-19,3222850024763660288
2018-10-20,3466560665766809600
2018-10-21,3845465671615158784
2018-10-22,3738050154929543680
2018-10-23,3363395684998823936
2018-10-24,3836245963241339904
2018-10-25,3437022529206468096
2018-10-26,3936589665630114304
2018-10-27,3479280605104663552
2018-10-28,3506366970626420224
2018-10-29,3311182168677260800
2018-10-30,3710551653066688000
2018-10-31,3306827533284366848
2018-11-01,3539149176794348032
2018-11-02,3542738352645372416
2018-11-03,3877940305790230016
2018-11-04,4601462789011662848
2018-11-05,4408198231408227840
2018-11-06,4553268256696759296
2018-11-07,5098771698116578304
2018-11-08,4686611119693571072
2018-11-09,4489415524139598336
2018-11-10,4486565703513648128
2018-11-11,4596748671148622848
2018-11-12,5216498581174305792
2018-11-13,5194484833450304512
2018-11-14,4933180432671228928
2018-11-15,3609209229735597056
2018-11-16,7881648940652804096
2018-11-17,5200403803136084992
2018-11-18,3908774778872338432
2018-11-19,4467206051281097216
2018-11-20,5204477506320236544
2018-11-21,3988402959909794304
2018-11-22,3630637403885837312
2018-11-23,3143377555161128960
2018-11-24,2935627264787215360
2018-11-25,1431196238208414464
2018-11-26,2106699994357981184
2018-11-27,1921001285556346880
2018-11-28,1976029694234628608
2018-11-29,1667573000425441024
2018-11-30,2001190028075369984
2018-12-01,1902157669449020672
2018-12-02,1967380478697310720
2018-12-03,1684926674421412352
2018-12-04,1302071431317961728
2018-12-05,1322911009303860992
2018-12-06,1196391747285722112
2018-12-07,1079248951942440960
2018-12-08,1236784994778268160
2018-12-09,1160542220879853056
2018-12-10,1174033553458194944
2018-12-11,1095037825051626752
2018-12-12,1089689070472093312
2018-12-13,1139242817497151744
2018-12-14,934693858785612672
2018-12-15,928900263768497792
2018-12-16,972591624998520448
2018-12-17,978364376801556480
2018-12-18,1020528154670877056
2018-12-19,1186018819804037888
2018-12-20,1584938931512012288
2018-12-21,1896342780721536512
2018-12-22,1742749774872186624
2018-12-23,1729353890513658624
2018-12-24,1699756995377514496
2018-12-25,1501786019537389056
2018-12-26,1635351356236104192
2018-12-27,1523085067309984000
2018-12-28,1539083392912101120
2018-12-29,1466900787832944640
2018-12-30,1504641914621102080
2018-12-31,1629407904559894016
2019-01-01,1684160606925920256
2019-01-02,1643811937931838976
2019-01-03,1731374376785088512
2019-01-04,1519282179732727808
2019-01-05,1523316244721140480
2019-01-06,1529147377443336192
2019-01-07,1259557142452750080
2019-01-08,1503762583192506368
2019-01-09,1569836033347887104
2019-01-10,1382992992340622848
2019-01-11,1441019593401490432
2019-01-12,1420447156292547328
2019-01-13,1460238506999952640
2019-01-14,1509468534627063040
2019-01-15,1441082872707229440
2019-01-16,1453388173118603520
2019-01-17,1426090775599819264
2019-01-18,1445419155987332608
2019-01-19,1450918238220822272
2019-01-20,1611203290878824960
2019-01-21,1371845829939990784
2019-01-22,1692062815205801216
2019-01-23,1303749499136722944
2019-01-24,1438164751819966976
2019-01-25,1369811946347116032
2019-01-26,1399298118146135552
2019-01-27,1348733130325267712
2019-01-28,1359425569100967168
2019-01-29,1318825429715191808
2019-01-30,1315884432471122176
2019-01-31,1425287773723510528
2019-02-01,1371605896171559680
2019-02-02,1339125186885375488
2019-02-03,1477786944815601408
2019-02-04,1319468081899745792
2019-02-05,1396244821981241600
2019-02-06,1440063369167675136
2019-02-07,1459074045594704128
2019-02-08,1377261115468434432
2019-02-09,1332693023983040000
2019-02-10,1410150475006522624
2019-02-11,1402124414221846528
2019-02-12,1393871524281688064
2019-02-13,1530477311796541696
2019-02-14,1365898029014775552
2019-02-15,1455682916025462016
2019-02-16,1441417078295816448
2019-02-17,1402298777398733568
2019-02-18,1478565879004699392
2019-02-19,1547418998402653184
2019-02-20,1514556104122592256
2019-02-21,1521154331107033344
2019-02-22,1444427641674563840
2019-02-23,1392787834708152320
2019-02-24,1564624301134550784
2019-02-25,1423703041689283328
2019-02-26,1401806993358253568
2019-02-27,1501818028941626368
2019-02-28,1489728242232326912
2019-03-01,1444253411169393664
2019-03-02,1423860072872867584
2019-03-03,1441048055215639040
2019-03-04,1393426228668156928
2019-03-05,1434769871092388096
2019-03-06,1417891566958947072
2019-03-07,1401465275903442176
2019-03-08,1417903618749399296
2019-03-09,1433404467088632320
2019-03-10,1408828163496522496
2019-03-11,1421726094831083520
2019-03-12,1409115727168972032
2019-03-13,1440207819197285632
2019-03-14,1482287752594889728
2019-03-15,1547840550859439104
2019-03-16,1655383627024449280
2019-03-17,1552255151282805760
2019-03-18,1754146497649056000
2019-03-19,1685591336184103424
2019-03-20,1607516378188001024
2019-03-21,1436056864503605760
2019-03-22,1676234763558328832
2019-03-23,1738922743355472896
2019-03-24,1618320406691009536
2019-03-25,1835006799461534720
2019-03-26,1734619610281844480
2019-03-27,1789383676906661888
2019-03-28,1805539657345636864
2019-03-29,1793765711418734848
2019-03-30,1795516725672425472
2019-03-31,1862473109233645824
2019-04-01,1608126231934918400
2019-04-02,1901632933192762368
2019-04-03,2743784329428924928
2019-04-04,2425961694372064256
2019-04-05,2684867138150612992
2019-04-06,2492922683683396096
2019-04-07,2582063887416709632
2019-04-08,2390896177496591360
2019-04-09,2525439217989749760
2019-04-10,2448165169713357824
2019-04-11,2375432034640693248
2019-04-12,2337405350812221440
2019-04-13,2372028208445320192
2019-04-14,2369258303826848256
2019-04-15,2695094649292812800
2019-04-16,2671753352705084928
2019-04-17,2667585018348874240
2019-04-18,2464200380264457216
2019-04-19,2435713532989582336
2019-04-20,2555974458920398848
2019-04-21,2593956595101058560
2019-04-22,2457680554201544704
2019-04-23,2517359587341224448
2019-04-24,2126068570726976256
2019-04-25,2487151650621126144
2019-04-26,2239895969463769088
2019-04-27,2394084034926234112
2019-04-28,2444320988264735232
2019-04-29,1987762621394296832
2019-04-30,2063045513965748736
2019-05-01,2354522740557788672
2019-05-02,2278805939319042304
2019-05-03,2265810499579149056
2019-05-04,2364257261755599872
2019-05-05,2313638930601110528
2019-05-06,2278852362283631616
2019-05-07,2248616145381210624
2019-05-08,2253090825370854144
2019-05-09,2133695194648786688
2019-05-10,2101472453647005184
2019-05-11,2172661200875375360
2019-05-12,2339237621892393472
2019-05-13,2298011218177078784
2019-05-14,2171224178542900992
2019-05-15,2137470141797076480
2019-05-16,2129586138309272320
2019-05-17,2081498067662615296
2019-05-18,2196468685637939456
2019-05-19,2353479348016966144
2019-05-20,2225261054154823936
2019-05-21,2314176762110723584
2019-05-22,2256619048454513408
2019-05-23,2267716332077371648
2019-05-24,2226750916008155392
2019-05-25,2400295613446704640
2019-05-26,2297264947772735232
2019-05-27,2247437203682935808
2019-05-28,2175758776141190912
2019-05-29,2343827476350953472
2019-05-30,2391446211431940608
2019-05-31,2371567247627874816
2019-06-01,2600562075030133248
2019-06-02,2603084941723542528
2019-06-03,2235937302885524992
2019-06-04,2425371827077006336
2019-06-05,2650551036100020736
2019-06-06,2561695610600275968
2019-06-07,2563180840899878912
2019-06-08,2550658035819829248
2019-06-09,2548267082635719680
2019-06-10,2548797131716193280
2019-06-11,2657895786896912384
2019-06-12,2385165139672496128
2019-06-13,2554533568003795968
2019-06-14,2445982509760087040
2019-06-15,2545211357719263232
2019-06-16,2434447125838873600
2019-06-17,2392870099866511872
2019-06-18,2242820312606957312
